Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Layoff_Month,Layoff_Quarter,Funding_Status,Layoff_Level
eToro,Tel Aviv,Israel,Asia,100.0,2022-07-05,6.0,1667.0,1567.0,Finance,Unknown,322.0,2022,32.08088,34.78057,7,3,Yes,Moderate
Verbit,New York City,USA,North America,80.0,2022-07-05,10.0,800.0,720.0,Data,Series E,569.0,2022,40.71427,-74.00597,7,3,Yes,Moderate
Outschool,San Francisco Bay Area,USA,North America,31.0,2022-07-05,18.0,172.0,141.0,Education,Series D,240.0,2022,37.77493,-122.41942,7,3,Yes,Mild
Bullish,Hong Kong,Hong Kong,Asia,30.0,2022-07-05,8.0,375.0,345.0,Crypto,Unknown,300.0,2022,22.27832,114.17469,7,3,Yes,Mild
Transmit Security,Boston,USA,North America,27.0,2022-07-05,7.0,386.0,359.0,Security,Series A,583.0,2022,42.35843,-71.05977,7,3,Yes,Mild
Thimble,New York City,USA,North America,20.0,2022-07-05,33.0,61.0,41.0,Finance,Series A,28.0,2022,40.71427,-74.00597,7,3,Yes,Mild
Syte,Tel Aviv,Israel,Asia,13.0,2022-07-05,8.0,163.0,150.0,Retail,Series C,71.0,2022,32.08088,34.78057,7,3,Yes,Mild
Lightricks,Jerusalem,Israel,Asia,80.0,2022-07-04,12.0,667.0,587.0,Consumer,Series D,335.0,2022,31.76904,35.21633,7,3,Yes,Moderate
Sendle,Sydney,Australia,Australia,27.0,2022-07-04,12.0,225.0,198.0,Logistics,Series C,69.0,2022,-33.86785,151.20732,7,3,Yes,Mild
Lendis,Berlin,Germany,Europe,18.0,2022-07-04,15.0,120.0,102.0,Other,Series A,90.0,2022,52.52437,13.41053,7,3,Yes,Mild
Celsius,New York City,USA,North America,150.0,2022-07-03,25.0,600.0,450.0,Crypto,Series B,864.0,2022,40.71427,-74.00597,7,3,Yes,Moderate
WanderJaunt,San Francisco Bay Area,USA,North America,85.0,2022-07-01,100.0,85.0,0.0,Travel,Series B,26.0,2022,37.77493,-122.41942,7,3,Yes,Moderate
Canoo,Los Angeles,USA,North America,58.0,2022-07-01,6.0,967.0,909.0,Transportation,Post-Ipo,300.0,2022,34.05223,-118.24368,7,3,Yes,Moderate
Teleport,San Francisco Bay Area,USA,North America,15.0,2022-07-01,6.0,250.0,235.0,Infrastructure,Series C,169.0,2022,37.80437,-122.2708,7,3,Yes,Mild
Enjoy,San Francisco Bay Area,USA,North America,400.0,2022-06-30,18.0,2222.0,1822.0,Retail,Post-Ipo,310.0,2022,37.44188,-122.14302,6,2,Yes,Heavy
Crejo.Fun,Bengaluru,India,Asia,170.0,2022-06-30,100.0,170.0,0.0,Education,Seed,3.0,2022,12.97194,77.59369,6,2,Yes,Moderate
