Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Layoff_Month,Layoff_Quarter,Funding_Status,Layoff_Level
ShareChat,Bengaluru,India,Asia,200.0,2023-12-20,15.0,1333.0,1133.0,Consumer,Series H,1700.0,2023,12.97194,77.59369,12,4,Yes,Heavy
InSightec,Haifa,Israel,Asia,100.0,2023-12-19,20.0,500.0,400.0,Healthcare,Unknown,733.0,2023,32.81841,34.9885,12,4,Yes,Moderate
Enphase Energy,San Francisco Bay Area,USA,North America,350.0,2023-12-18,10.0,3500.0,3150.0,Energy,Post-Ipo,116.0,2023,37.54827,-121.98857,12,4,Yes,Heavy
Udaan,Bengaluru,India,Asia,100.0,2023-12-18,10.0,1000.0,900.0,Retail,Unknown,182.0,2023,12.97194,77.59369,12,4,Yes,Moderate
Cruise,San Francisco Bay Area,USA,North America,900.0,2023-12-14,24.0,3750.0,2850.0,Transportation,Acquired,15000.0,2023,37.77493,-122.41942,12,4,Yes,Heavy
Bolt,San Francisco Bay Area,USA,North America,130.0,2023-12-14,29.0,450.0,320.0,Finance,Series E,1300.0,2023,37.77493,-122.41942,12,4,Yes,Moderate
Invitae,San Francisco Bay Area,USA,North America,235.0,2023-12-13,15.0,1567.0,1332.0,Healthcare,Post-Ipo,182.0,2023,37.77493,-122.41942,12,4,Yes,Heavy
Etsy,New York City,USA,North America,225.0,2023-12-13,11.0,2045.0,1820.0,Retail,Post-Ipo,97.0,2023,40.71427,-74.00597,12,4,Yes,Heavy
Chipper Cash,San Francisco Bay Area,USA,North America,15.0,2023-12-11,33.0,45.0,30.0,Finance,Series C,302.0,2023,37.77493,-122.41942,12,4,Yes,Mild
Zulily,Seattle,USA,North America,839.0,2023-12-08,100.0,839.0,0.0,Retail,Acquired,194.0,2023,47.60621,-122.33207,12,4,Yes,Heavy
ZestMoney,Bengaluru,India,Asia,150.0,2023-12-05,100.0,150.0,0.0,Finance,Series C,120.0,2023,12.97194,77.59369,12,4,Yes,Moderate
Navan,San Francisco Bay Area,USA,North America,145.0,2023-12-05,5.0,2900.0,2755.0,Finance,Unknown,182.0,2023,37.44188,-122.14302,12,4,Yes,Moderate
Incredibuild,Tel Aviv,Israel,Asia,40.0,2023-12-05,20.0,200.0,160.0,Product,Series B,35.0,2023,32.08088,34.78057,12,4,Yes,Mild
Spotify,Stockholm,Sweden,Europe,1500.0,2023-12-04,17.0,9200.0,7700.0,Media,Post-Ipo,2100.0,2023,59.32938,18.06871,12,4,Yes,Heavy
Loco,Mumbai,India,Asia,40.0,2023-11-30,36.0,111.0,71.0,Consumer,Acquired,52.0,2023,19.07283,72.88261,11,4,Yes,Mild
Zepz,London,United Kingdom,Europe,30.0,2023-11-30,2.0,1500.0,1470.0,Finance,Series E,700.0,2023,51.50853,-0.12574,11,4,Yes,Mild
Unity,San Francisco Bay Area,USA,North America,265.0,2023-11-28,4.0,6625.0,6360.0,Other,Post-Ipo,1300.0,2023,37.77493,-122.41942,11,4,Yes,Heavy
Dataminr,New York City,USA,North America,150.0,2023-11-28,20.0,750.0,600.0,Ai,Series F,1100.0,2023,40.71427,-74.00597,11,4,Yes,Moderate
Our Next Energy,Detroit,USA,North America,128.0,2023-11-27,25.0,512.0,384.0,Transportation,Series B,390.0,2023,42.33143,-83.04575,11,4,Yes,Moderate
Physics Wallah,Noida,India,Asia,120.0,2023-11-19,1.0,12000.0,11880.0,Education,Series A,100.0,2023,8.49615,77.53601,11,4,Yes,Moderate
TripAdvisor,Boston,USA,North America,125.0,2023-11-12,4.0,3125.0,3000.0,Travel,Post-Ipo,3.0,2023,42.35843,-71.05977,11,4,Yes,Moderate
Viasat,San Diego,USA,North America,800.0,2023-11-02,10.0,8000.0,7200.0,Other,Post-Ipo,366.0,2023,32.71571,-117.16472,11,4,Yes,Heavy
Beyond Meat,Los Angeles,USA,North America,65.0,2023-11-02,8.0,813.0,748.0,Food,Post-Ipo,122.0,2023,34.05223,-118.24368,11,4,Yes,Moderate
Splunk,San Francisco Bay Area,USA,North America,500.0,2023-11-01,7.0,7143.0,6643.0,Data,Post-Ipo,2400.0,2023,37.77493,-122.41942,11,4,Yes,Heavy
Faire,San Francisco Bay Area,USA,North America,250.0,2023-11-01,20.0,1250.0,1000.0,Retail,Series G,1700.0,2023,37.77493,-122.41942,11,4,Yes,Heavy
Sana Benefits,Austin,USA,North America,73.0,2023-11-01,50.0,146.0,73.0,Hr,Series B,106.0,2023,30.26715,-97.74306,11,4,Yes,Moderate
Hippo Insurance,San Francisco Bay Area,USA,North America,120.0,2023-10-26,20.0,600.0,480.0,Finance,Post-Ipo,1300.0,2023,37.44188,-122.14302,10,4,Yes,Moderate
SiFive,San Francisco Bay Area,USA,North America,130.0,2023-10-24,20.0,650.0,520.0,Hardware,Series F,365.0,2023,37.35411,-121.95524,10,4,Yes,Moderate
Nomad Health,New York City,USA,North America,119.0,2023-10-20,17.0,700.0,581.0,Healthcare,Unknown,218.0,2023,40.71427,-74.00597,10,4,Yes,Moderate
Convoy,Seattle,USA,North America,500.0,2023-10-19,100.0,500.0,0.0,Logistics,Series E,1100.0,2023,47.60621,-122.33207,10,4,Yes,Heavy
Bullhorn,Boston,USA,North America,140.0,2023-10-19,9.0,1556.0,1416.0,Sales,Acquired,32.0,2023,42.35843,-71.05977,10,4,Yes,Moderate
StellarAlgo,Calgary,Canada,North America,21.0,2023-10-19,28.0,75.0,54.0,Data,Series A,16.0,2023,51.05011,-114.08529,10,4,Yes,Mild
ManoMano,Paris,France,Europe,230.0,2023-10-18,25.0,920.0,690.0,Retail,Series F,705.0,2023,48.85341,2.3488,10,4,Yes,Heavy
WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35.0,2023-10-18,10.0,350.0,315.0,Other,Series A,64.0,2023,52.37403,4.88969,10,4,Yes,Mild
LinkedIn,San Francisco Bay Area,USA,North America,660.0,2023-10-16,3.0,22000.0,21340.0,Recruiting,Acquired,154.0,2023,37.36883,-122.03635,10,4,Yes,Heavy
C2FO,Kansas City,USA,North America,80.0,2023-10-16,3.0,2667.0,2587.0,Finance,Series H,537.0,2023,39.09973,-94.57857,10,4,Yes,Moderate
Lending Club,San Francisco Bay Area,USA,North America,172.0,2023-10-12,14.0,1229.0,1057.0,Finance,Post-Ipo,392.0,2023,37.77493,-122.41942,10,4,Yes,Moderate
MariaDB,San Francisco Bay Area,USA,North America,84.0,2023-10-12,28.0,300.0,216.0,Data,Post-Ipo,272.0,2023,37.48522,-122.23635,10,4,Yes,Moderate
Deepgram,San Francisco Bay Area,USA,North America,20.0,2023-10-11,20.0,100.0,80.0,Ai,Series B,86.0,2023,37.77493,-122.41942,10,4,Yes,Mild
Carbon Health,San Francisco Bay Area,USA,North America,114.0,2023-10-09,5.0,2280.0,2166.0,Healthcare,Series D,522.0,2023,37.77493,-122.41942,10,4,Yes,Moderate
InvestCloud,Los Angeles,USA,North America,80.0,2023-10-06,5.0,1600.0,1520.0,Finance,Private Equity,54.0,2023,34.05223,-118.24368,10,4,Yes,Moderate
SchoolMint,San Francisco Bay Area,USA,North America,29.0,2023-10-05,14.0,207.0,178.0,Education,Acquired,8.0,2023,37.77493,-122.41942,10,4,Yes,Mild
Arrival,London,United Kingdom,Europe,200.0,2023-10-05,25.0,800.0,600.0,Transportation,Post-Ipo,629.0,2023,51.50853,-0.12574,10,4,Yes,Heavy
Qualtrics,Salt Lake City,USA,North America,780.0,2023-10-04,14.0,5571.0,4791.0,Other,Post-Ipo,400.0,2023,40.76078,-111.89105,10,4,Yes,Heavy
Hopper,Montreal,Canada,North America,250.0,2023-10-04,30.0,833.0,583.0,Travel,Unknown,730.0,2023,45.50884,-73.58781,10,4,Yes,Heavy
Chainalysis,New York City,USA,North America,150.0,2023-10-02,15.0,1000.0,850.0,Crypto,Series F,536.0,2023,40.71427,-74.00597,10,4,Yes,Moderate
Synapse,San Francisco Bay Area,USA,North America,86.0,2023-10-02,40.0,215.0,129.0,Finance,Series B,50.0,2023,37.77493,-122.41942,10,4,Yes,Moderate
Chia Network,San Francisco Bay Area,USA,North America,26.0,2023-10-02,37.0,70.0,44.0,Crypto,Series D,70.0,2023,37.77493,-122.41942,10,4,Yes,Mild
Cowbell,San Francisco Bay Area,USA,North America,28.0,2023-09-29,12.0,233.0,205.0,Finance,Series B,123.0,2023,37.66243,-121.87468,9,3,Yes,Mild
Epic Games,Raleigh,USA,North America,870.0,2023-09-28,16.0,5438.0,4568.0,Consumer,Unknown,182.0,2023,35.7721,-78.63861,9,3,Yes,Heavy
Fi.Money,Bengaluru,India,Asia,30.0,2023-09-27,10.0,300.0,270.0,Finance,Series C,137.0,2023,12.97194,77.59369,9,3,Yes,Mild
Dunzo,Bengaluru,India,Asia,150.0,2023-09-26,30.0,500.0,350.0,Food,Unknown,458.0,2023,12.97194,77.59369,9,3,Yes,Moderate
Flexe,Seattle,USA,North America,131.0,2023-09-26,33.0,397.0,266.0,Logistics,Series D,263.0,2023,47.60621,-122.33207,9,3,Yes,Moderate
Lucid Software,Salt Lake City,USA,North America,75.0,2023-09-25,7.0,1071.0,996.0,Other,Series E,170.0,2023,40.76078,-111.89105,9,3,Yes,Moderate
7shifts,Saskatoon,Canada,North America,30.0,2023-09-15,7.0,429.0,399.0,Food,Series C,131.0,2023,52.13238,-106.66892,9,3,Yes,Mild
Airtable,San Francisco Bay Area,USA,North America,237.0,2023-09-14,27.0,878.0,641.0,Product,Series F,1400.0,2023,37.77493,-122.41942,9,3,Yes,Heavy
VideoAmp,Los Angeles,USA,North America,40.0,2023-09-14,10.0,400.0,360.0,Marketing,Series F,456.0,2023,34.05223,-118.24368,9,3,Yes,Mild
Evolve,Denver,USA,North America,175.0,2023-09-12,20.0,875.0,700.0,Travel,Series F,224.0,2023,39.73915,-104.9847,9,3,Yes,Moderate
Paper,Montreal,Canada,North America,87.0,2023-09-12,3.0,2900.0,2813.0,Education,Series D,389.0,2023,45.50884,-73.58781,9,3,Yes,Moderate
Homeday,Berlin,Germany,Europe,40.0,2023-09-12,20.0,200.0,160.0,Real Estate,Unknown,71.0,2023,52.52437,13.41053,9,3,Yes,Mild
At-Bay,San Francisco Bay Area,USA,North America,27.0,2023-09-12,9.0,300.0,273.0,Security,Unknown,296.0,2023,37.77493,-122.41942,9,3,Yes,Mild
Chargebee,San Francisco Bay Area,USA,North America,100.0,2023-09-11,10.0,1000.0,900.0,Finance,Series H,468.0,2023,37.77493,-122.41942,9,3,Yes,Moderate
Grabango,San Francisco Bay Area,USA,North America,34.0,2023-09-11,40.0,85.0,51.0,Food,Unknown,94.0,2023,37.87159,-122.27275,9,3,Yes,Mild
Drift,Boston,USA,North America,100.0,2023-09-07,25.0,400.0,300.0,Marketing,Acquired,107.0,2023,42.35843,-71.05977,9,3,Yes,Moderate
Roku,San Francisco Bay Area,USA,North America,360.0,2023-09-06,10.0,3600.0,3240.0,Media,Post-Ipo,208.0,2023,37.33939,-121.89496,9,3,Yes,Heavy
Absci,Portland,USA,North America,30.0,2023-09-05,15.0,200.0,170.0,Healthcare,Post-Ipo,238.0,2023,45.52345,-122.67621,9,3,Yes,Mild
Hodinkee,New York City,USA,North America,24.0,2023-09-05,20.0,120.0,96.0,Retail,Seed,40.0,2023,40.71427,-74.00597,9,3,Yes,Mild
Nexar,New York City,USA,North America,17.0,2023-09-04,14.0,121.0,104.0,Transportation,Series D,149.0,2023,40.71427,-74.00597,9,3,Yes,Mild
Omuni,Bengaluru,India,Asia,60.0,2023-08-30,35.0,171.0,111.0,Retail,Acquired,10.0,2023,12.97194,77.59369,8,3,Yes,Moderate
Kenko Health,Mumbai,India,Asia,50.0,2023-08-30,20.0,250.0,200.0,Healthcare,Series A,14.0,2023,19.07283,72.88261,8,3,Yes,Moderate
Huma,London,United Kingdom,Europe,45.0,2023-08-30,10.0,450.0,405.0,Healthcare,Unknown,217.0,2023,51.50853,-0.12574,8,3,Yes,Mild
Zeplin,San Francisco Bay Area,USA,North America,37.0,2023-08-30,35.0,106.0,69.0,Product,Seed,1.0,2023,37.77493,-122.41942,8,3,Yes,Mild
Kenko Health,Mumbai,India,Asia,50.0,2023-08-29,20.0,250.0,200.0,Healthcare,Unknown,14.0,2023,19.07283,72.88261,8,3,Yes,Moderate
Zebra Technologies,Chicago,USA,North America,700.0,2023-08-28,7.0,10000.0,9300.0,Manufacturing,Post-Ipo,182.0,2023,41.85003,-87.65005,8,3,Yes,Heavy
Captiv8,San Francisco Bay Area,USA,North America,8.0,2023-08-24,3.0,267.0,259.0,Marketing,Unknown,4.0,2023,37.56299,-122.32553,8,3,Yes,Mild
Atlas,Chicago,USA,North America,150.0,2023-08-23,30.0,500.0,350.0,Hr,Series B,220.0,2023,41.85003,-87.65005,8,3,Yes,Moderate
Veriff,Tallinn,Estonia,Europe,101.0,2023-08-23,21.0,481.0,380.0,Security,Series C,192.0,2023,59.43696,24.75353,8,3,Yes,Moderate
BlackLine,Los Angeles,USA,North America,95.0,2023-08-23,5.0,1900.0,1805.0,Finance,Post-Ipo,220.0,2023,34.05223,-118.24368,8,3,Yes,Moderate
Getir,London,United Kingdom,Europe,2500.0,2023-08-22,11.0,22727.0,20227.0,Food,Series E,1800.0,2023,51.50853,-0.12574,8,3,Yes,Heavy
Twiga,Nairobi,Kenya,Africa,283.0,2023-08-20,33.0,858.0,575.0,Food,Series C,157.0,2023,-1.28333,36.81667,8,3,Yes,Heavy
AppFolio,Santa Barbara,USA,North America,149.0,2023-08-17,9.0,1656.0,1507.0,Real Estate,Post-Ipo,30.0,2023,34.42083,-119.69819,8,3,Yes,Moderate
StreamElements,Tel Aviv,Israel,Asia,60.0,2023-08-17,35.0,171.0,111.0,Media,Series B,111.0,2023,32.08088,34.78057,8,3,Yes,Moderate
SecureWorks,Atlanta,USA,North America,300.0,2023-08-14,15.0,2000.0,1700.0,Security,Post-Ipo,83.0,2023,33.749,-84.38798,8,3,Yes,Heavy
Blend,San Francisco Bay Area,USA,North America,150.0,2023-08-09,19.0,789.0,639.0,Finance,Post-Ipo,665.0,2023,37.77493,-122.41942,8,3,Yes,Moderate
Dealtale,Tel Aviv,Israel,Asia,70.0,2023-08-09,100.0,70.0,0.0,Sales,Acquired,2.0,2023,32.08088,34.78057,8,3,Yes,Moderate
Thoughtworks,Chicago,USA,North America,579.0,2023-08-08,5.0,11580.0,11001.0,Other,Post-Ipo,748.0,2023,41.85003,-87.65005,8,3,Yes,Heavy
Rapid7,Boston,USA,North America,470.0,2023-08-08,18.0,2611.0,2141.0,Security,Post-Ipo,89.0,2023,42.35843,-71.05977,8,3,Yes,Heavy
Doximity,San Francisco Bay Area,USA,North America,100.0,2023-08-08,10.0,1000.0,900.0,Healthcare,Post-Ipo,82.0,2023,37.77493,-122.41942,8,3,Yes,Moderate
23andMe,San Francisco Bay Area,USA,North America,71.0,2023-08-08,11.0,645.0,574.0,Healthcare,Post-Ipo,1100.0,2023,37.77493,-122.41942,8,3,Yes,Moderate
Top Hat,Toronto,Canada,North America,42.0,2023-08-04,7.0,600.0,558.0,Education,Series E,234.0,2023,43.70643,-79.39864,8,3,Yes,Mild
Discord,San Francisco Bay Area,USA,North America,37.0,2023-08-03,4.0,925.0,888.0,Consumer,Series H,182.0,2023,37.77493,-122.41942,8,3,Yes,Mild
Spinny,Gurugram,India,Asia,300.0,2023-08-02,5.0,6000.0,5700.0,Transportation,Series E,513.0,2023,28.4601,77.02635,8,3,Yes,Heavy
Tekion,Bengaluru,India,Asia,300.0,2023-08-02,10.0,3000.0,2700.0,Other,Series D,435.0,2023,12.97194,77.59369,8,3,Yes,Heavy
BetterUp,San Francisco Bay Area,USA,North America,100.0,2023-08-02,16.0,625.0,525.0,Hr,Series E,567.0,2023,37.77493,-122.41942,8,3,Yes,Moderate
Augury,New York City,USA,North America,70.0,2023-08-02,18.0,389.0,319.0,Manufacturing,Series E,274.0,2023,40.71427,-74.00597,8,3,Yes,Moderate
Gupy,Sao Paulo,Brazil,South America,58.0,2023-08-02,8.0,725.0,667.0,Hr,Series B,105.0,2023,-23.5475,-46.63611,8,3,Yes,Moderate
Vesttoo,Tel Aviv,Israel,Asia,150.0,2023-08-01,75.0,200.0,50.0,Finance,Series C,110.0,2023,32.08088,34.78057,8,3,Yes,Moderate
Planet,San Francisco Bay Area,USA,North America,117.0,2023-08-01,10.0,1170.0,1053.0,Aerospace,Post-Ipo,574.0,2023,37.77493,-122.41942,8,3,Yes,Moderate
Paper,Montreal,Canada,North America,106.0,2023-08-01,4.0,2650.0,2544.0,Education,Series D,389.0,2023,45.50884,-73.58781,8,3,Yes,Moderate
Archipelago,San Francisco Bay Area,USA,North America,40.0,2023-08-01,30.0,133.0,93.0,Real Estate,Series B,57.0,2023,37.77493,-122.41942,8,3,Yes,Mild
Fable,Toronto,Canada,North America,13.0,2023-07-31,9.0,144.0,131.0,Other,Series A,12.0,2023,43.70643,-79.39864,7,3,Yes,Mild
Kape Technologies,London,United Kingdom,Europe,200.0,2023-07-30,30.0,667.0,467.0,Security,Post-Ipo,188.0,2023,51.50853,-0.12574,7,3,Yes,Heavy
Eroad,Auckland,New Zealand,Australia,200.0,2023-07-28,31.0,645.0,445.0,Transportation,Unknown,46.0,2023,-36.84853,174.76349,7,3,Yes,Heavy
Milkbasket,Gurugram,India,Asia,400.0,2023-07-27,67.0,597.0,197.0,Food,Acquired,39.0,2023,28.4601,77.02635,7,3,Yes,Heavy
Wish,San Francisco Bay Area,USA,North America,255.0,2023-07-27,34.0,750.0,495.0,Retail,Post-Ipo,1600.0,2023,37.77493,-122.41942,7,3,Yes,Heavy
Point,San Francisco Bay Area,USA,North America,61.0,2023-07-27,28.0,218.0,157.0,Real Estate,Series C,149.0,2023,37.77493,-122.41942,7,3,Yes,Moderate
Verbit,New York City,USA,North America,60.0,2023-07-27,6.0,1000.0,940.0,Data,Series E,569.0,2023,40.71427,-74.00597,7,3,Yes,Moderate
Copia,Nairobi,Kenya,Africa,350.0,2023-07-26,25.0,1400.0,1050.0,Retail,Series C,103.0,2023,-1.28333,36.81667,7,3,Yes,Heavy
Figure,San Francisco Bay Area,USA,North America,90.0,2023-07-26,20.0,450.0,360.0,Crypto,Unknown,1500.0,2023,37.77493,-122.41942,7,3,Yes,Moderate
Calendly,Atlanta,USA,North America,60.0,2023-07-26,10.0,600.0,540.0,Other,Series B,351.0,2023,33.749,-84.38798,7,3,Yes,Moderate
Deep Instict,New York City,USA,North America,46.0,2023-07-25,15.0,307.0,261.0,Security,Unknown,322.0,2023,40.71427,-74.00597,7,3,Yes,Mild
AgentSync,Denver,USA,North America,67.0,2023-07-19,24.0,279.0,212.0,Finance,Series B,111.0,2023,39.73915,-104.9847,7,3,Yes,Moderate
Inspirato,Denver,USA,North America,50.0,2023-07-19,6.0,833.0,783.0,Travel,Post-Ipo,179.0,2023,39.73915,-104.9847,7,3,Yes,Moderate
Tilia,San Francisco Bay Area,USA,North America,28.0,2023-07-19,32.0,88.0,60.0,Finance,Unknown,32.0,2023,37.77493,-122.41942,7,3,Yes,Mild
Sarcos,Salt Lake City,USA,North America,75.0,2023-07-17,25.0,300.0,225.0,Aerospace,Post-Ipo,316.0,2023,40.76078,-111.89105,7,3,Yes,Moderate
PayScale,Seattle,USA,North America,14.0,2023-07-14,2.0,700.0,686.0,Hr,Acquired,33.0,2023,47.60621,-122.33207,7,3,Yes,Mild
AudioCodes,Tel Aviv,Israel,Asia,80.0,2023-07-13,6.0,1333.0,1253.0,Other,Post-Ipo,91.0,2023,32.08088,34.78057,7,3,Yes,Moderate
Deepwatch,Tampa Bay,USA,North America,30.0,2023-07-13,7.0,429.0,399.0,Security,Series C,256.0,2023,27.94752,-82.45843,7,3,Yes,Mild
DeepVerge,Dublin,Ireland,Europe,50.0,2023-07-12,100.0,50.0,0.0,Healthcare,Post-Ipo,20.0,2023,53.33306,-6.24889,7,3,Yes,Moderate
Freightos,Miami,USA,North America,50.0,2023-07-12,13.0,385.0,335.0,Logistics,Post-Ipo,118.0,2023,25.77427,-80.19366,7,3,Yes,Moderate
WayCool,Chennai,India,Asia,300.0,2023-07-11,12.0,2500.0,2200.0,Food,Unknown,363.0,2023,13.08784,80.27847,7,3,Yes,Heavy
Matterport,San Francisco Bay Area,USA,North America,170.0,2023-07-11,30.0,567.0,397.0,Data,Post-Ipo,409.0,2023,37.36883,-122.03635,7,3,Yes,Moderate
Sisense,New York City,USA,North America,100.0,2023-07-11,15.0,667.0,567.0,Data,Series F,274.0,2023,40.71427,-74.00597,7,3,Yes,Moderate
FrontRow,Bengaluru,India,Asia,4.0,2023-07-10,100.0,4.0,0.0,Education,Series A,17.0,2023,12.97194,77.59369,7,3,Yes,Mild
FNZ,London,United Kingdom,Europe,1000.0,2023-07-06,15.0,6667.0,5667.0,Finance,Private Equity,182.0,2023,51.50853,-0.12574,7,3,Yes,Heavy
Perfect Day,San Francisco Bay Area,USA,North America,134.0,2023-07-06,15.0,893.0,759.0,Food,Series D,711.0,2023,37.87159,-122.27275,7,3,Yes,Moderate
TytoCare,New York City,USA,North America,20.0,2023-07-06,10.0,200.0,180.0,Healthcare,Series D,156.0,2023,40.71427,-74.00597,7,3,Yes,Mild
Highsnobiety,Berlin,Germany,Europe,24.0,2023-07-03,10.0,240.0,216.0,Media,Acquired,8.0,2023,52.52437,13.41053,7,3,Yes,Mild
Zip,Sydney,Australia,Australia,300.0,2023-07-02,20.0,1500.0,1200.0,Finance,Post-Ipo,896.0,2023,-33.86785,151.20732,7,3,Yes,Heavy
Headspace,Los Angeles,USA,North America,181.0,2023-06-29,15.0,1207.0,1026.0,Healthcare,Unknown,216.0,2023,34.05223,-118.24368,6,2,Yes,Moderate
Artsy,New York City,USA,North America,35.0,2023-06-29,15.0,233.0,198.0,Retail,Series D,100.0,2023,40.71427,-74.00597,6,2,Yes,Mild
Torii,Ra'anana,Israel,Asia,28.0,2023-06-29,30.0,93.0,65.0,Other,Series B,65.0,2023,32.1836,34.87386,6,2,Yes,Mild
ClickUp,San Diego,USA,North America,90.0,2023-06-28,10.0,900.0,810.0,Other,Series C,537.0,2023,32.71571,-117.16472,6,2,Yes,Moderate
Plex,San Francisco Bay Area,USA,North America,37.0,2023-06-28,20.0,185.0,148.0,Media,Unknown,81.0,2023,37.38605,-122.08385,6,2,Yes,Mild
New Relic,San Francisco Bay Area,USA,North America,255.0,2023-06-27,10.0,2550.0,2295.0,Infrastructure,Post-Ipo,214.0,2023,37.77493,-122.41942,6,2,Yes,Heavy
Robinhood,San Francisco Bay Area,USA,North America,150.0,2023-06-26,7.0,2143.0,1993.0,Finance,Post-Ipo,5600.0,2023,37.45383,-122.18219,6,2,Yes,Moderate
Convoy,Seattle,USA,North America,30.0,2023-06-26,5.0,600.0,570.0,Logistics,Series E,1100.0,2023,47.60621,-122.33207,6,2,Yes,Mild
Uber,San Francisco Bay Area,USA,North America,200.0,2023-06-21,0.9961647656522389,20077.0,19877.0,Transportation,Post-Ipo,25200.0,2023,37.77493,-122.41942,6,2,Yes,Heavy
Ritual,Toronto,Canada,North America,38.0,2023-06-21,40.0,95.0,57.0,Food,Series C,134.0,2023,43.70643,-79.39864,6,2,Yes,Mild
Grab,Singapore,Singapore,Asia,1000.0,2023-06-20,11.0,9091.0,8091.0,Transportation,Post-Ipo,16500.0,2023,1.28967,103.85007,6,2,Yes,Heavy
Chingari,Bengaluru,India,Asia,48.0,2023-06-19,20.0,240.0,192.0,Media,Unknown,88.0,2023,12.97194,77.59369,6,2,Yes,Mild
Mojocare,Bengaluru,India,Asia,170.0,2023-06-17,80.0,213.0,43.0,Healthcare,Series A,24.0,2023,12.97194,77.59369,6,2,Yes,Moderate
Pilot,San Francisco Bay Area,USA,North America,45.0,2023-06-16,13.0,346.0,301.0,Finance,Unknown,116.0,2023,37.77493,-122.41942,6,2,Yes,Mild
CareRev,Los Angeles,USA,North America,100.0,2023-06-15,33.0,303.0,203.0,Healthcare,Series A,51.0,2023,34.05223,-118.24368,6,2,Yes,Moderate
FrontRow,Bengaluru,India,Asia,39.0,2023-06-15,90.0,43.0,4.0,Education,Series A,17.0,2023,12.97194,77.59369,6,2,Yes,Mild
Bitwise,Fresno,USA,North America,900.0,2023-06-14,100.0,900.0,0.0,Crypto,Series B,84.0,2023,36.74773,-119.77237,6,2,Yes,Heavy
Sonos,New York City,USA,North America,130.0,2023-06-14,7.0,1857.0,1727.0,Consumer,Post-Ipo,455.0,2023,40.71427,-74.00597,6,2,Yes,Moderate
TrueCar,Los Angeles,USA,North America,102.0,2023-06-14,24.0,425.0,323.0,Transportation,Post-Ipo,340.0,2023,34.05223,-118.24368,6,2,Yes,Moderate
Olo,New York City,USA,North America,81.0,2023-06-14,11.0,736.0,655.0,Food,Post-Ipo,184.0,2023,40.71427,-74.00597,6,2,Yes,Moderate
Grubhub,San Francisco Bay Area,USA,North America,400.0,2023-06-12,15.0,2667.0,2267.0,Food,Acquired,284.0,2023,37.77493,-122.41942,6,2,Yes,Heavy
GoCardless,London,United Kingdom,Europe,150.0,2023-06-12,17.0,882.0,732.0,Finance,Series G,529.0,2023,51.50853,-0.12574,6,2,Yes,Moderate
Pendo,Raleigh,USA,North America,100.0,2023-06-12,12.0,833.0,733.0,Product,Series F,469.0,2023,35.7721,-78.63861,6,2,Yes,Moderate
Chegg,San Francisco Bay Area,USA,North America,80.0,2023-06-12,4.0,2000.0,1920.0,Education,Post-Ipo,227.0,2023,37.35411,-121.95524,6,2,Yes,Moderate
TaxBit,San Francisco Bay Area,USA,North America,80.0,2023-06-11,40.0,200.0,120.0,Crypto,Unknown,253.0,2023,37.77493,-122.41942,6,2,Yes,Moderate
Trybe,Sao Paulo,Brazil,South America,128.0,2023-06-09,35.0,366.0,238.0,Education,Series B,40.0,2023,-23.5475,-46.63611,6,2,Yes,Moderate
23andMe,San Francisco Bay Area,USA,North America,75.0,2023-06-09,9.0,833.0,758.0,Healthcare,Post-Ipo,1100.0,2023,37.77493,-122.41942,6,2,Yes,Moderate
Expel,Washington DC,USA,North America,60.0,2023-06-09,10.0,600.0,540.0,Security,Series E,288.0,2023,38.89511,-77.03637,6,2,Yes,Moderate
Cityblock Health,New York City,USA,North America,155.0,2023-06-08,12.0,1292.0,1137.0,Healthcare,Series D,891.0,2023,40.71427,-74.00597,6,2,Yes,Moderate
Highspot,Seattle,USA,North America,140.0,2023-06-08,15.0,933.0,793.0,Sales,Series F,644.0,2023,47.60621,-122.33207,6,2,Yes,Moderate
Edgio,Phoenix,USA,North America,134.0,2023-06-06,12.0,1117.0,983.0,Infrastructure,Post-Ipo,462.0,2023,33.44838,-112.07404,6,2,Yes,Moderate
Reddit,San Francisco Bay Area,USA,North America,90.0,2023-06-06,5.0,1800.0,1710.0,Consumer,Series F,1300.0,2023,37.77493,-122.41942,6,2,Yes,Moderate
Linktree,Melbourne,Australia,Australia,60.0,2023-06-06,27.0,222.0,162.0,Consumer,Unknown,165.0,2023,-37.814,144.96332,6,2,Yes,Moderate
Dragos,Baltimore,USA,North America,50.0,2023-06-06,9.0,556.0,506.0,Security,Series D,364.0,2023,39.29038,-76.61219,6,2,Yes,Moderate
Spotify,Stockholm,Sweden,Europe,200.0,2023-06-05,2.0,9400.0,9200.0,Media,Post-Ipo,2100.0,2023,59.32938,18.06871,6,2,Yes,Heavy
ZoomInfo,Vancouver,Canada,North America,120.0,2023-06-02,3.0,4000.0,3880.0,Sales,Post-Ipo,7.0,2023,49.24966,-123.11934,6,2,Yes,Moderate
Outbrain,New York City,USA,North America,90.0,2023-06-01,10.0,900.0,810.0,Marketing,Post-Ipo,394.0,2023,40.71427,-74.00597,6,2,Yes,Moderate
